ward_old,street_name,odd_even,numbers,ward_new,notes,
Broomhill,Ainsley Road,,,Crookes & Crosspool,added,
Broomhill,Alpine Road,,,Walkley,,
Broomhill,Antrim Avenue,,,Broomhill & Sharrow Vale,,
Broomhill,Ashberry Road,odds,,Walkley,delete,
Broomhill,Ashdell Road,,,Broomhill & Sharrow Vale,,
Broomhill,Ashgate Close,,,Broomhill & Sharrow Vale,,
Broomhill,Ashgate Road,,,Broomhill & Sharrow Vale,,
Broomhill,Ashgrove,,,Broomhill & Sharrow Vale,,
Broomhill,Barber Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Barber Place,,,Broomhill & Sharrow Vale,,
Broomhill,Barber Road,,,Broomhill & Sharrow Vale,delete,
Broomhill,Beaufort Road,,,Broomhill & Sharrow Vale,,
Broomhill,Beech Hill Road,,,Broomhill & Sharrow Vale,,
Broomhill,Beehive Road,,,Broomhill & Sharrow Vale,,
Broomhill,Betjeman Gardens,,,Broomhill & Sharrow Vale,,
Broomhill,Birkendale,,,Walkley,,
Broomhill,Birkendale Road,,,Walkley,delete,
Broomhill,Birkendale View,,,Walkley,delete,
Broomhill,Botanical Road,,,Broomhill & Sharrow Vale,,
Broomhill,Bower Road,,,Broomhill & Sharrow Vale,,
Broomhill,Bristol Road,,,Broomhill & Sharrow Vale,,
Broomhill,Brocco Bank,,,Broomhill & Sharrow Vale,,
Broomhill,Broomfield Road,,,Broomhill & Sharrow Vale,,
Broomhill,Broomgrove Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Broomgrove Lane,,,Broomhill & Sharrow Vale,,
Broomhill,Broomgrove Road,,,Broomhill & Sharrow Vale,,
Broomhill,Broomhall Place,,,Broomhill & Sharrow Vale,,
Broomhill,Broomhall Road,,,Broomhill & Sharrow Vale,,
Broomhill,Bruce Road,,,Broomhill & Sharrow Vale,,
Broomhill,Burns Road,,"1-41,2-46",Walkley,,
Broomhill,Burns Road,,"43-85,48-74",Broomhill & Sharrow Vale,,
Broomhill,Caxton Road,,,Broomhill & Sharrow Vale,,
Broomhill,Cemetery Avenue,,,Broomhill & Sharrow Vale,,
Broomhill,Chandos Street,,,Broomhill & Sharrow Vale,,
Broomhill,Chesterwood Drive,,,Broomhill & Sharrow Vale,,
Broomhill,Claremont Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Clarke Dell,,,Broomhill & Sharrow Vale,,
Broomhill,Clarke Drive,,,Broomhill & Sharrow Vale,,
Broomhill,Clarke Square,,,Broomhill & Sharrow Vale,,
Broomhill,Clarkegrove Road,,,Broomhill & Sharrow Vale,,
Broomhill,Clarkehouse Road,,,Broomhill & Sharrow Vale,,
Broomhill,Clarkson Street,,,Broomhill & Sharrow Vale,,
Broomhill,College Street,,,Broomhill & Sharrow Vale,,
Broomhill,Collegiate Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Commonside,odds,1-17,Walkley,,
Broomhill,Conduit Road,,,Crookes & Crosspool,delete,
Broomhill,Conduit Road,,,Crookes & Crosspool,added,
Broomhill,Crookes Road,,,Broomhill & Sharrow Vale,,
Broomhill,Crookes Valley Road,,,Broomhill & Sharrow Vale,,
Broomhill,Crookesmoor Drive,,,Walkley,delete,
Broomhill,Crookesmoor Road,evens,344-500,Crookes & Crosspool,added (Spring Hill - Roslin Road).,
Broomhill,Crookesmoor Road,,,Broomhill & Sharrow Vale,,
Broomhill,Crookesmoor Road,,,Broomhill,,
Broomhill,Daniel Hill Court,,,Walkley,delete,
Broomhill,Daniel Hill Street,,,Walkley,delete,
Broomhill,Denham Road,,,Broomhill & Sharrow Vale,,
Broomhill,Dover Road,,,Broomhill & Sharrow Vale,,
Broomhill,East Grove Road,,,Broomhill & Sharrow Vale,,
Broomhill,Eastwood Road,,,Broomhill & Sharrow Vale,,
Broomhill,Ecclesall Road,odds,1-551,Broomhill & Sharrow Vale,,
Broomhill,Ecclesall Road,evens,,Broomhill & Sharrow Vale,,
Broomhill,Elliott Road,,,Broomhill & Sharrow Vale,,
Broomhill,Elmore Road,,,Broomhill & Sharrow Vale,,
Broomhill,Embankment Road,,,Crookes & Crosspool,delete,
Broomhill,Embankment Road,,,Crookes & Crosspool,added,
Broomhill,Endcliffe Avenue,,,Fulwood,delete,
Broomhill,Endcliffe Crescent,,,Fulwood,delete,
Broomhill,Endcliffe Glen Road,,,Broomhill & Sharrow Vale,,
Broomhill,Endcliffe Rise Road,,,Broomhill & Sharrow Vale,,
Broomhill,Endcliffe Terrace Road,,,Broomhill & Sharrow Vale,,
Broomhill,Endcliffe Vale Avenue,,,Broomhill & Sharrow Vale,,
Broomhill,Endcliffe Vale Road,odds,1-33,Broomhill & Sharrow Vale,,
Broomhill,Endcliffe Vale Road,odds,,Fulwood,delete,"Including The Glade, Laurel Court and Linden Court"
Broomhill,Everton Road,,,Broomhill & Sharrow Vale,,
Broomhill,Fulton Road,,,Walkley,delete,
Broomhill,Fulwood Road,,,Broomhill & Sharrow Vale,,
Broomhill,Glebe Road,,,Crookes & Crosspool,delete,
Broomhill,Glebe Road,,,Crookes & Crosspool,added,
Broomhill,Glossop Road,,"423-501,412-498",Broomhill & Sharrow Vale,,
Broomhill,Glossop Road,,,Broomhill & Sharrow Vale,,
Broomhill,Hallamgate Road,,,Broomhill & Sharrow Vale,,
Broomhill,Harcourt Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Harcourt Road,,,Broomhill & Sharrow Vale,,
Broomhill,Harefield Road,,,Broomhill & Sharrow Vale,,
Broomhill,Harland Road,,,Broomhill & Sharrow Vale,,
Broomhill,Hickmott Road,,,Broomhill & Sharrow Vale,,
Broomhill,Highnam Crescent Road,,,Broomhill & Sharrow Vale,,
Broomhill,Hoole Lane,,,Broomhill & Sharrow Vale,,
Broomhill,Hoole Road,,,Broomhill & Sharrow Vale,,
Broomhill,Howard Road,,,Broomhill & Sharrow Vale,,
Broomhill,Ivy Drive,,,Broomhill & Sharrow Vale,,
Broomhill,Ivy Grove,,,Broomhill & Sharrow Vale,,
Broomhill,Kaye Place,,,Broomhill & Sharrow Vale,,
Broomhill,Khartoum Road,,,Broomhill & Sharrow Vale,,
Broomhill,Lawson Road,,,Broomhill & Sharrow Vale,,
Broomhill,Lydgate Lane,,,Broomhill & Sharrow Vale,,
Broomhill,Mackenzie Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Manchester Road,,,Broomhill & Sharrow Vale,,
Broomhill,Marlborough Road,,,Broomhill & Sharrow Vale,,
Broomhill,Melbourne Avenue,,,Broomhill & Sharrow Vale,,
Broomhill,Moor Oaks Road,,,Broomhill & Sharrow Vale,,
Broomhill,Moorgate Avenue,,,Broomhill & Sharrow Vale,,
Broomhill,Neill Road,,"1-59,2-60",Broomhill & Sharrow Vale,,
Broomhill,Neill Road,,"69-159,106-140",Broomhill & Sharrow Vale,,
Broomhill,Newbould Lane,,,Broomhill & Sharrow Vale,,
Broomhill,Newington Road,,,Broomhill & Sharrow Vale,,
Broomhill,Nile Street,,,Broomhill & Sharrow Vale,,
Broomhill,Northumberland Road,,,Broomhill & Sharrow Vale,,
Broomhill,Oak Park,,,Broomhill & Sharrow Vale,,
Broomhill,Oakholme Mews,,,Broomhill & Sharrow Vale,,
Broomhill,Oakholme Road,,,Broomhill & Sharrow Vale,,
Broomhill,Other Electors,,,Broomhill & Sharrow Vale,,
Broomhill,Oxford Street,,,Broomhill & Sharrow Vale,,
Broomhill,Park Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Park Lane,,,Broomhill & Sharrow Vale,,
Broomhill,Parkers Lane,,,Broomhill & Sharrow Vale,,
Broomhill,Parkers Road,,,Broomhill & Sharrow Vale,,
Broomhill,Pear Street,,,Broomhill & Sharrow Vale,,
Broomhill,Pisgah House Road,,,Broomhill & Sharrow Vale,,
Broomhill,Pomona Street,,,Broomhill & Sharrow Vale,,
Broomhill,Redcar Road,,,Crookes & Crosspool,delete,
Broomhill,Redcar Road,,,Crookes & Crosspool,added,
Broomhill,Reservoir Road,,,Crookes & Crosspool,delete,
Broomhill,Reservoir Road,,,Crookes & Crosspool,added,
Broomhill,Roebuck Road,odds,,Broomhill & Sharrow Vale,,
Broomhill,Roebuck Road,evens,,Walkley,,
Broomhill,Rosedale Gardens,,,Broomhill & Sharrow Vale,,
Broomhill,Rosedale Road,,,Broomhill & Sharrow Vale,,
Broomhill,Roslin Road,,,Broomhill & Sharrow Vale,,
Broomhill,Rossington Road,,,Broomhill & Sharrow Vale,,
Broomhill,Rutland Park,,,Broomhill & Sharrow Vale,,
Broomhill,Ryegate Road,,,Crookes & Crosspool,delete,
Broomhill,Rygate Road,evens,,Crookes & Crosspool,added,
Broomhill,Sale Hill,,,Broomhill & Sharrow Vale,,
Broomhill,Sawdon Road,,,Broomhill & Sharrow Vale,,
Broomhill,School Road,,,Crookes & Crosspool,delete,
Broomhill,Severn Court,,,Broomhill & Sharrow Vale,,
Broomhill,Severn Road,,,Broomhill & Sharrow Vale,,
Broomhill,Shearwood Road,,,Broomhill & Sharrow Vale,,
Broomhill,Shore Lane,,,Broomhill & Sharrow Vale,,
Broomhill,Snuff Mill Lane,,,Broomhill & Sharrow Vale,,
Broomhill,Southbourne Road,,,Broomhill & Sharrow Vale,,
Broomhill,Southgrove Road,,,Broomhill & Sharrow Vale,,
Broomhill,Spooner Road,,,Broomhill & Sharrow Vale,,
Broomhill,Spring Hill,,,Crookes & Crosspool,delete,
Broomhill,Spring Hill Road,evens,,Broomhill & Sharrow Vale,,
Broomhill,Springvale Road,,,Walkley,delete,
Broomhill,St Marks Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Stalker Lees Road,,,Broomhill & Sharrow Vale,,
Broomhill,Summerfield,,,Broomhill & Sharrow Vale,,
Broomhill,Sydney Road,,,Walkley,delete,
Broomhill,Tapton Crescent Road,odds,,Broomhill & Sharrow Vale,,
Broomhill,Tapton Crescent Road,odds,,Broomhill,,
Broomhill,Tapton Crescent Road,evens,,Crookes & Crosspool,delete,
Broomhill,Tapton Crescent Road,evens,,Crookes & Crosspool,added(one side) ,
Broomhill,Tapton Hill Road,,,Crookes & Crosspool,delete,
Broomhill,Tapton House Road,,,Broomhill & Sharrow Vale,,
Broomhill,Tapton Mews,,,Broomhill & Sharrow Vale,,
Broomhill,Tapton Mount Close,,,Broomhill & Sharrow Vale,,
Broomhill,Taptonville Crescent,,,Broomhill & Sharrow Vale,,
Broomhill,Taptonville Head,,,Broomhill & Sharrow Vale,,
Broomhill,Taptonville Road,,,Broomhill & Sharrow Vale,,
Broomhill,The Glen,,,Fulwood,delete,
Broomhill,The Nook,,,Broomhill & Sharrow Vale,,
Broomhill,Thompson Road,,,Broomhill & Sharrow Vale,,
Broomhill,Turners Lane,,,Broomhill & Sharrow Vale,,
Broomhill,Upperthorpe,,,Walkley,delete,
Broomhill,Victoria Road,,,Broomhill & Sharrow Vale,,
Broomhill,Wadbrough Road,,,Broomhill & Sharrow Vale,,
Broomhill,Walton Road,,,Broomhill & Sharrow Vale,,
Broomhill,Warrington Road,,,Broomhill & Sharrow Vale,,
Broomhill,Watson Mews,,,Broomhill & Sharrow Vale,,
Broomhill,Watson Road,,,Broomhill & Sharrow Vale,,
Broomhill,Wellesley Road,,,Broomhill & Sharrow Vale,,
Broomhill,Wellfield Close,,,Walkley,delete,
Broomhill,Wellfield Road,,,Walkley,delete,
Broomhill,Westbourne Road,,,Broomhill & Sharrow Vale,,
Broomhill,Western Bank,,,Broomhill & Sharrow Vale,,
Broomhill,Wharncliffe Road,evens,,Broomhill & Sharrow Vale,,
Broomhill,Whitham Road,,,Broomhill & Sharrow Vale,,
Broomhill,Wigfull Road,,,Broomhill & Sharrow Vale,,
Broomhill,Wilson Road,,,Broomhill & Sharrow Vale,,
Broomhill,Wilton Place,,,Broomhill & Sharrow Vale,,
Broomhill,Wiseton Road,,,Broomhill & Sharrow Vale,,
Central,Abbeydale Road,,,Nether Edge & Sharrow,not City NE & S to Bannerdale Rd,
Central,Adelaide Lane,,,City,,
Central,Agden Road,,,Nether Edge & Sharrow,,
Central,Ainsty Road,,,Nether Edge & Sharrow,,
Central,Albany Road,,,Nether Edge & Sharrow,,
Central,Alderson Place,,,Nether Edge & Sharrow,,
Central,Alderson Road,,137-999,City,0 - 135 odds and evens NE & S,
Central,Alderson Road North,,,City,,
Central,Alma Street,,,City,,
Central,Arley Street,,,City,small are at south end in NE&S but no accomm?,
Central,Arundel Gate,,,City,,
Central,Arundel Lane,,,City,,
Central,Arundel Street,,,City,,
Central,Backfields,,,City,,
Central,Bailey Lane,,,City,,
Central,Bailey Street,,,City,,
Central,Bank Street,,,City,,
Central,Baron Street,,,City,,
Central,Batt Street,,,Nether Edge & Sharrow,,
Central,Beeley Street,,,Nether Edge & Sharrow,,
Central,Belgrave Square,,,Nether Edge & Sharrow,,
Central,Bells Square,,,City,,
Central,Bennett Street,,,Nether Edge & Sharrow,,
Central,Blonk Street,,,City,,
Central,Boston Street,,,City,East of London Rd only (?no accomm on other side),
Central,Bramall Lane,odds,,City,evens NE & S,
Central,Brittain Street,,,City,,
Central,Broad Lane,,,City,,
Central,Broom Green,,,Broomhill,,
Central,Broom Street,,,Broomhill,,
Central,Broom Walk,,,Broomhill,cant work out where this is?,
Central,Broomhall Place,,,Broomhill,,
Central,Broomhall Street,,,Broomhill,,
Central,Broomspring Close,,,Broomhill,,
Central,Broomspring Lane,,,Broomhill,,
Central,Brown Lane,,,City,,
Central,Brunswick Street,,,Broomhill,,
Central,Burgess Street,,,City,,
Central,Cambridge Street,,,City,,
Central,Campo Lane,,,City,,
Central,Carver Street,,,City,,
Central,Castle Green,,,City,,
Central,Castle Street,,,City,,
Central,Castlegate,,,City,,
Central,Cavendish Court,,,Broomhill,,
Central,Cavendish Street,,,City,,
Central,Cecil Square,,,Nether Edge & Sharrow,,
Central,Cemetery Road,,,Nether Edge & Sharrow,,
Central,Charles Street,,,City,,
Central,Charlotte Road,,,City,,
Central,Charter Row,,,City,,
Central,Cherry Street,,,City,,
Central,Cherry Street South,,,City,,
Central,Chippinghouse Road,,,Nether Edge & Sharrow,,
Central,Church Street,,,City,,
Central,Clarke Square,,,Nether Edge & Sharrow,,
Central,Clarke Street,,,Broomhill,,
Central,Cliff Street,,,Nether Edge & Sharrow,,
Central,Clinton Place,,,Broomhill,,
Central,Clinton Walk,,,Broomhill,,
Central,Clough Bank,,,City,,
Central,Clough Road,,,City,,
Central,Club Garden Road,,,Nether Edge & Sharrow,,
Central,Club Garden Walk,,,Nether Edge & Sharrow,,
Central,Club Street,,,Nether Edge & Sharrow,,
Central,Colver Road,,,Nether Edge & Sharrow,,
Central,Convent Walk,,,City,,
Central,Conway Street,evens,,City,odds Broomhill,north to City
Central,Countess Road,,,City,,
Central,Cracknell,,,City,,
Central,Cream Street,,,City,,
Central,Crescent Road,,,Nether Edge & Sharrow,,
Central,Cromford Street,,,City,,
Central,Cross Burgess Street,,,City,,
Central,Cross Smithfield,,,City,,
Central,Crowther Place,,,Nether Edge & Sharrow,,
Central,Croydon Street,,,Nether Edge & Sharrow,,
Central,Denby Street,evens,,City,odds NE & S,
Central,Devonshire Street,,,City,,
Central,Division Street,,,City,,
Central,Dixon Lane,,,City,,
Central,Dorset Street,,,Broomhill,,
Central,Duchess Road,,,City,,
Central,Dun Fields,,,City,,
Central,Dun Street,,,City,,
Central,Ecclesall Road,,,Broomhill,split Broomhill and NE &S,
Central,Edmund Court,,,City,,
Central,Edmund Road,,,City,,
Central,Edward Street,,,Walkley,,
Central,Egerton Close,,,Broomhill,,
Central,Egerton Lane,,,City,,
Central,Egerton Street,,,Broomhill,no clues from google maps. split Broomhill and NE &S,
Central,Egerton Walk,,,Broomhill,,
Central,Eldon Street,,,City,,
Central,Exchange Street,,,City,,
Central,Exeter Drive,,,Broomhill,,
Central,Exeter Place,,,Broomhill,,
Central,Exeter Way,,,Broomhill,,
Central,Eyre Lane,,,City,,
Central,Farm Road,,,City,,
Central,Farrar Road,,,Nether Edge & Sharrow,,
Central,Fentonville Street,,,Nether Edge & Sharrow,,
Central,Fieldhead Road,,,Nether Edge & Sharrow,,
Central,Filey Lane,,,Broomhill,,
Central,Filey Street,,,Broomhill,,
Central,Fitzalan Square,,,City,,
Central,Fitzwilliam Street,,,City,,
Central,Fornham Street,,,City,,
Central,Foster,,,City,,
Central,Furnace Hill,,,City,,
Central,Furnival Street,,,City,,
Central,Gamston Road,,,Nether Edge & Sharrow,,
Central,Garden Street,,,City,,
Central,Gell Street,,,City,,
Central,George Street,,,City,,rest to City
Central,Gibraltar Street,,,City,,
Central,Gifford Road,,,Nether Edge & Sharrow,,
Central,Glossop Road,,"0-261,0-332",City,,
Central,Gloucester Crescent,,,Broomhill,,
Central,Gloucester Street,,,Broomhill,,
Central,Glover Road,,,Nether Edge & Sharrow,,
Central,Grange Crescent,,,Nether Edge & Sharrow,,
Central,Grange Crescent Road,,,Nether Edge & Sharrow,,
Central,Grange Road,,,Nether Edge & Sharrow,,
Central,Green Lane,,,City,,
Central,Grosvenor Square,,,Nether Edge & Sharrow,,
Central,Hanover Court,,,Broomhill,,
Central,Hanover Square,,,Broomhill,,
Central,Harrow Street,,,Nether Edge & Sharrow,,
Central,Hartshead,,,City,,
Central,Hartshead Square,,,City,,
Central,Harwell Road,,,Nether Edge & Sharrow,,
Central,Harwood Close,,,Nether Edge & Sharrow,,
Central,Harwood Street,,,Nether Edge & Sharrow,,
Central,Havelock Street,,,Broomhill,,
Central,Hawley Street,,,City,,
Central,Headford Gardens,,,Broomhill,,
Central,Headford Grove,,,Broomhill,,
Central,Headford Mews,,,City,,
Central,Headford Street,evens,,City,not Dimino Hse/odds Broomhill,
Central,Hermitage St,,,City,,
Central,Herschell Road,,,Nether Edge & Sharrow,,
Central,High Street,,,City,,
Central,Highfield Place,,,Nether Edge & Sharrow,,
Central,Hill Street,,40-44,City,Rest in NE & S,
Central,Hill Street,,,Nether Edge & Sharrow,,
Central,Hobart Street,,,Nether Edge & Sharrow,,
Central,Hodgson Street,,,City,,
Central,Holberry Close,,,Broomhill,,
Central,Holberry Gardens,,,Broomhill,,
Central,Holland Place,,,Nether Edge & Sharrow,,
Central,Holland Road,,,Nether Edge & Sharrow,,
Central,Holly Street,,,City,,
Central,Holy Green,,,City,,
Central,Howard Street,,,City,,
Central,Huntingdon Crescent,,,Nether Edge & Sharrow,,
Central,John Street,,99-181,City,odds from 99 and SUFC city rest = NE & S,
Central,John Street,,,Nether Edge & Sharrow,odds from 99 and SUFC city rest = NE & S,
Central,Kearsley Road,,,Nether Edge & Sharrow,,
Central,Kelham Island,,,City,,
Central,Kelham Square,,,City,,
Central,Kenwood Park Road,,,Nether Edge & Sharrow,,
Central,Kenwood Road,,,Nether Edge & Sharrow,,
Central,Kenyon Street,,,Walkley,,
Central,King Street,,,City,,
Central,Ladys Bridge,,,City,,
Central,Lambert Street,,,City,,
Central,Lancaster Street,,,City,,
Central,Lancing Road,,,City,,
Central,Langdon Street,,,Nether Edge & Sharrow,,
Central,Leadmill Road,,,City,,
Central,Leadmill Street,,,City,,
Central,Leopold Street,,,City,,
Central,Leverton Drive,,,Nether Edge & Sharrow,,
Central,Leverton Gardens,,,Nether Edge & Sharrow,,
Central,Little Kelham Street,,,City,,
Central,London Road,,,Nether Edge & Sharrow,,
Central,Mackenzie Street,,,Nether Edge & Sharrow,,
Central,Mappin Street,,,City,,
Central,Margaret Street,,,City,,
Central,Mary Street,,,City,,
Central,Matilda Street,,,City,,
Central,Midland Street,,,City,,
Central,Millsands,,,City,,
Central,Milton Street,,,City,,
Central,Monmouth Street,,,Broomhill,,
Central,Mortimer Street,,,City,,
Central,Mount Pleasant Road,,,Nether Edge & Sharrow,,
Central,Mount Street,,,Nether Edge & Sharrow,,
Central,Mowbray Street,,,City,,
Central,Myrtle Road,,0-17,City,,
Central,Napier Street,,,Nether Edge & Sharrow,,
Central,Neepsend Lane,,,City,From Rutland Rd SE only,
Central,Newcastle Street,,,City,,
Central,Norfolk Street,,,City,,
Central,North Bank,,,City,,
Central,North Church Street,,,City,,
Central,North Quay Drive,,,City,,
Central,Nursery Street,,,City,,
Central,Orchard Lane,,,City,,
Central,Orchard Street,,,City,,
Central,Other Electors,,,,,
Central,Parkfield Place,,,Nether Edge & Sharrow,,
Central,Paternoster Row,,,City,,
Central,Pearl Street,,,Nether Edge & Sharrow,,
Central,Peel Terrace,,,Broomhill,,
Central,Penley Street,,,Nether Edge & Sharrow,,
Central,Penton Street,,,City,,
Central,Pinsent,,,City,,
Central,Pinstone Street,,,City,,
Central,Pitt Street,,,City,,
Central,Pond Hill,,,City,,
Central,Portland Lane,,,City,,
Central,Portobello Street,,,City,,
Central,Preston Street,,,Nether Edge & Sharrow,,
Central,Priestley Street,,,City,,
Central,Priory Avenue,,,Nether Edge & Sharrow,,
Central,Priory Place,,,Nether Edge & Sharrow,,
Central,Priory Road,,,Nether Edge & Sharrow,,
Central,Priory Terrace,,,Nether Edge & Sharrow,,
Central,Queen Street,,,City,,
Central,Queens Road,,,City,North of Bramall Lane only,
Central,Queens Row,,,City,,
Central,Rampton Road,,,Nether Edge & Sharrow,,
Central,Randall Place,,,Nether Edge & Sharrow,,
Central,Redgrave,,,City,,
Central,Regent Street,,,City,,
Central,Regent Terrace,,,City,,
Central,Rockingham Lane,,,City,,
Central,Rockingham Street,,,City,,
Central,Rowland Road,,,Nether Edge & Sharrow,,
Central,Rowland Street,,,City,,
Central,Rowsley Street,,,City,,
Central,Russell Street,,,City,,
Central,Ruth Square,,,Broomhill,,
Central,Salmon Street,,,Nether Edge & Sharrow,,
Central,Scotland Street,evens,,City,split Walkley and City,
Central,Shalesmoor,,,City,,
Central,Sharrow Lane,,,Nether Edge & Sharrow,,
Central,Sharrow Street,,,Nether Edge & Sharrow,,
Central,Sharrow View,,,Nether Edge & Sharrow,,
Central,Sheldon St,,,City,,
Central,Shoreham Street,,,City,,
